地区,户型,楼层高度,建筑面积/㎡,建成年代/年,装修情况,有无电梯	,挂牌价/万,成交周期/天,调价次数/次,带看次数,关注人数,浏览次数,成交价/万
东城,1室1厅1厨1卫,底层(共7层),47.87,2003,精装,无,590,128,1,10,49,1519,590
东城,2室1厅1厨1卫,高楼层(共29层),61.14,2009,精装,有,538,16,0,18,21,590,525
东城,2室1厅1厨1卫,中楼层(共6层),58,1989,简装,无,670,17,0,9,11,390,653
东城,1室1厅1厨1卫,高楼层(共6层),91.63,2005,精装,有,730,367,1,42,112,7337,706
东城,2室1厅1厨1卫,地下室(共6层),57.64,1980,简装,无,350,44,1,7,23,1009,330
东城,3室1厅1厨1卫,中楼层(共5层),67.99,1992,简装,无,650,8,0,18,38,569,639
东城,2室1厅1厨1卫,低楼层(共16层),67.96,2006,简装,有,600,195,1,22,114,5039,600
东城,3室1厅1厨1卫,底层(共6层),77.4,1990,简装,有,630,81,0,7,54,1233,618
东城,3室1厅1厨2卫,中楼层(共6层),114.29,2003,精装,无,971,600,1,49,339,18768,923
东城,2室2厅1厨2卫,低楼层(共21层),151.16,2003,精装,有,1500,136,0,42,52,4107,1375
东城,1室1厅1厨1卫,低楼层(共6层),55.47,2005,简装,无,625,31,0,51,47,813,610
东城,1室1厅1厨1卫,低楼层(共18层),48.94,2005,精装,有,470,18,1,0,5,267,458
东城,2室1厅1厨1卫,中楼层(共12层),60.64,1983,简装,有,555,75,1,44,35,1502,539
东城,2室1厅1厨1卫,中楼层(共6层),58.98,1986,其他,无,550,24,0,2,14,187,525
东城,2室1厅1厨1卫,底层(共6层),52.87,1985,精装,无,455,232,1,32,64,1103,450
东城,2室1厅1厨1卫,中楼层(共9层),108.5,2000,其他,有,820,220,1,6,16,1030,800
东城,3室2厅1厨2卫,低楼层(共16层),151.99,2006,简装,有,1650,43,0,50,13,1335,1550
东城,1室0厅1厨1卫,底层(共7层),25.5,2004,其他,有,298,6,0,0,28,193,296.8
东城,2室1厅1厨1卫,中楼层(共18层),89.92,2001,简装,有,620,59,1,99,13,293,605
东城,1室1厅1厨1卫,低楼层(共12层),45.39,2003,简装,有,405,17,0,23,13,576,389.5
东城,3室1厅1厨1卫,低楼层(共17层),73.59,1991,精装,有,625,591,1,36,147,2683,605
东城,3室1厅1厨1卫,顶层(共12层),68.04,1980,其他,有,748,376,1,96,73,5381,665
东城,1室1厅1厨1卫,高楼层(共10层),53.52,2003,精装,有,716,226,1,27,25,4856,700
东城,2室1厅1厨1卫,底层(共6层),48.52,1980,简装,无,218,49,1,7,17,165,185
东城,2室1厅1厨1卫,低楼层(共6层),52.57,1983,简装,无,390,16,1,35,59,587,380
东城,2室1厅1厨1卫,中楼层(共6层),57.77,1990,精装,无,530,34,0,27,35,774,517.5
东城,2室1厅1厨1卫,中楼层(共7层),70.42,2002,简装,无,580,208,1,172,250,9568,555
东城,2室1厅1厨1卫,中楼层(共6层),70.24,2004,精装,无,678,199,1,11,2,101,671
东城,3室1厅1厨1卫,低楼层(共9层),104.52,2008,精装,有,1220,327,1,70,10,199,1208
东城,3室1厅1厨1卫,底层(共6层),65.1,1980,简装,无,490,133,1,103,325,3286,480
东城,2室1厅1厨1卫,高楼层(共18层),61.02,1990,精装,有,585,50,1,32,70,1326,565
东城,2室1厅1厨1卫,中楼层(共7层),89.55,2002,精装,无,650,123,1,1,11,603,630
东城,2室0厅1厨1卫,中楼层(共16层),53.98,2004,简装,有,450,30,0,20,47,1085,440
东城,2室1厅1厨1卫,底层(共16层),58.73,2005,精装,有,620,35,1,17,76,1321,620
东城,2室1厅1厨1卫,低楼层(共11层),86.27,2004,简装,有,1120,180,1,17,72,4579,1098
东城,2室1厅1厨1卫,中楼层(共17层),96.5,2007,精装,有,960,72,1,29,56,1661,901
东城,1室1厅1厨1卫,中楼层(共14层),47.11,1988,简装,有,458,85,1,11,76,1910,439
东城,2室0厅1厨1卫,低楼层(共3层),56.69,1958,简装,暂无数据,488,28,0,25,39,2570,478
东城,4室1厅1厨1卫,高楼层(共6层),124.7,2000,简装,无,999,177,1,9,28,4756,960
东城,2室2厅1厨1卫,中楼层(共4层),99.55,1965,精装,无,780,186,1,8,19,3090,778
东城,2室1厅1厨1卫,顶层(共5层),58.29,1990,精装,无,625,24,1,14,21,509,590
东城,3室1厅1厨2卫,中楼层(共8层),144.93,2003,精装,有,1790,128,1,42,77,3120,1712
东城,1室1厅1厨1卫,顶层(共11层),69.24,2005,简装,有,467,31,1,17,91,1234,456.5
东城,3室1厅1厨2卫,高楼层(共24层),130.57,2000,简装,有,850,27,0,3,9,451,760
东城,2室1厅1厨1卫,低楼层(共16层),80.77,2004,精装,有,920,24,0,11,16,640,848
东城,2室1厅1厨1卫,低楼层(共23层),85.03,2009,精装,有,628,30,1,36,41,812,615
东城,2室1厅1厨1卫,中楼层(共5层),73.17,2002,简装,无,655,7,0,1,4,25,646
东城,2室1厅1厨1卫,中楼层(共6层),53.98,1982,简装,无,550,25,1,3,9,333,530
东城,2室1厅1厨1卫,高楼层(共10层),67.11,1992,精装,有,680,50,1,19,30,1142,640
东城,2室1厅1厨1卫,顶层(共6层),45.54,1960,简装,暂无数据,499,3,0,5,5,121,472
东城,1室1厅1厨1卫,中楼层(共15层),80.96,2008,精装,有,880,85,1,4,23,1404,850
东城,1室1厅1厨1卫,中楼层(共6层),52.43,2003,简装,无,628,8,0,6,15,226,572
东城,2室1厅1厨1卫,低楼层(共6层),57.85,1989,简装,无,578,37,1,21,48,1474,560
东城,2室1厅1厨1卫,底层(共4层),47.75,1992,精装,无,545,71,1,46,57,856,528
东城,2室1厅1厨1卫,中楼层(共13层),65.5,2003,简装,有,710,68,1,15,15,1387,665
东城,3室1厅1厨2卫,底层(共6层),100.3,1998,精装,无,1280,235,1,86,95,5867,1178
东城,3室1厅1厨1卫,底层(共6层),67.58,1983,精装,无,530,27,0,17,36,523,530
东城,2室1厅1厨1卫,低楼层(共9层),64.45,2003,简装,有,710,45,1,2,20,309,700
东城,5室2厅1厨2卫,低楼层(共6层),203.67,1994,简装,无,1570,282,1,20,72,5434,1470
东城,2室1厅1厨1卫,底层(共6层),60,1990,简装,无,690,237,1,34,79,5872,637
东城,2室1厅1厨1卫,中楼层(共23层),85.03,2009,精装,有,630,85,0,4,47,1674,575
东城,2室1厅1厨1卫,高楼层(共6层),57.88,1993,简装,无,425,29,0,19,64,661,408
东城,3室1厅1厨1卫,中楼层(共7层),96.26,1998,精装,无,1060,9,0,18,14,187,1022
东城,1室1厅1厨1卫,低楼层(共21层),61.03,2004,精装,有,480,126,0,1,58,2488,470
东城,2室1厅1厨1卫,底层(共6层),53.45,1978,简装,无,470,7,0,5,13,134,466
东城,3室1厅1厨2卫,中楼层(共19层),172.2,2005,简装,有,1376,160,1,76,34,4166,1326
东城,1室1厅1厨1卫,底层(共14层),72.13,2002,简装,有,425,198,1,36,237,5605,437
东城,1室1厅1厨1卫,高楼层(共10层),55.73,2006,简装,有,550,4,0,6,5,119,560
东城,2室1厅1厨1卫,低楼层(共11层),74.39,2002,精装,有,950,41,0,65,21,996,915
东城,1室1厅1厨1卫,中楼层(共17层),59.73,2004,精装,有,567,258,1,8,153,6171,540
东城,2室1厅1厨1卫,底层(共17层),81,2004,精装,有,735,14,0,26,50,763,724
东城,1室1厅1厨1卫,中楼层(共14层),47.11,1988,简装,有,476,275,1,33,96,6382,445
东城,2室1厅1厨1卫,中楼层(共7层),67.94,2003,精装,无,700,5,1,3,13,182,680
东城,1室1厅1厨1卫,高楼层(共6层),40.98,1996,简装,无,485,35,0,25,12,631,480
东城,1室1厅1厨1卫,顶层(共15层),46.29,2006,精装,有,455,17,1,1,8,339,446
东城,2室1厅1厨1卫,顶层(共6层),59.85,1985,精装,无,520,55,1,14,65,1677,502
东城,1室1厅1厨1卫,高楼层(共29层),51.27,2009,精装,有,471,7,1,1,3,52,462
东城,2室1厅1厨1卫,高楼层(共6层),57.55,1992,精装,无,590,26,0,3,36,724,570
东城,2室2厅1厨2卫,高楼层(共18层),97.59,2003,精装,有,1200,117,0,3,54,2511,1190
东城,1室1厅1厨1卫,中楼层(共9层),53.89,2003,精装,有,588,24,0,6,14,346,573
东城,3室1厅1厨2卫,顶层(共6层),97.43,1990,精装,有,930,49,1,31,45,1091,906
东城,1室0厅1厨1卫,低楼层(共16层),46.94,2007,精装,有,460,338,1,148,158,10214,443
东城,2室1厅1厨1卫,中楼层(共5层),47.31,1987,简装,无,530,33,1,51,39,859,510
东城,2室1厅1厨1卫,高楼层(共12层),80.23,2009,精装,有,605,14,1,27,54,882,585
东城,3室1厅1厨1卫,顶层(共6层),56.44,1985,精装,无,620,358,1,157,194,8849,587
东城,2室1厅1厨1卫,中楼层(共16层),82.45,2004,精装,有,880,58,0,10,21,998,820
东城,2室1厅1厨1卫,中楼层(共12层),60.01,1990,精装,有,540,18,0,4,13,356,522.5
东城,1室1厅1厨1卫,顶层(共6层),41.23,1994,精装,无,460,18,0,3,10,378,450
东城,2室1厅1厨1卫,中楼层(共6层),50.77,1970,简装,暂无数据,416,87,1,7,31,834,398
东城,1室1厅1厨1卫,中楼层(共5层),37.83,1983,精装,无,455,21,0,17,14,311,445
东城,2室1厅1厨1卫,低楼层(共20层),79.82,2007,精装,有,798,37,1,7,15,924,740
东城,1室1厅1厨1卫,顶层(共6层),44.56,1992,精装,无,498,129,1,42,36,2841,487
东城,3室1厅1厨1卫,高楼层(共16层),87.37,1999,简装,有,960,17,0,18,11,494,850
东城,3室1厅1厨1卫,高楼层(共16层),103.7,2006,简装,有,1035,30,1,44,59,1179,1000
东城,2室1厅1厨1卫,底层(共6层),68.1,1997,简装,无,473,31,0,12,41,667,462
东城,2室1厅1厨1卫,中楼层(共5层),57.69,1987,精装,无,660,542,1,2,49,11984,605
东城,2室1厅1厨1卫,中楼层(共5层),57.2,1981,其他,无,560,7,0,15,12,138,553
东城,3室1厅1厨1卫,低楼层(共6层),69.09,1989,简装,无,610,14,1,13,33,434,590
东城,2室1厅1厨1卫,高楼层(共6层),58.59,1980,毛坯,无,388,2,1,1,3,15,364
东城,2室1厅1厨1卫,中楼层(共6层),58.31,1996,其他,无,670,10,0,5,15,214,652
东城,2室1厅1厨1卫,顶层(共6层),60.3,1992,精装,无,536,40,1,6,40,1035,470
东城,3室1厅1厨1卫,中楼层(共29层),75.11,2009,简装,有,630,114,1,1,64,1776,620
东城,1室1厅1厨1卫,中楼层(共27层),63.35,2004,精装,有,510,21,1,25,26,695,500
东城,2室1厅1厨1卫,中楼层(共12层),56.29,2002,精装,有,570,350,1,29,209,10749,558
东城,3室1厅1厨1卫,顶层(共6层),80.02,1990,简装,无,700,434,1,12,180,9471,699
东城,1室1厅1厨1卫,低楼层(共6层),40.17,1979,简装,无,456,25,1,37,21,1015,430
东城,2室1厅0厨1卫,高楼层(共6层),57.37,1984,简装,无,555,199,1,11,12,4389,518
东城,1室1厅1厨1卫,高楼层(共10层),55.4,2006,精装,有,590,26,0,14,10,680,580
东城,1室1厅1厨1卫,低楼层(共21层),58.89,2007,精装,有,510,9,0,6,10,245,491
东城,3室2厅1厨1卫,高楼层(共6层),107.02,1995,简装,无,970,435,1,86,112,6570,940
东城,2室1厅1厨1卫,高楼层(共16层),93.55,2001,其他,有,600,77,1,1,20,883,582
东城,1室1厅1厨1卫,顶层(共9层),53.65,1990,简装,有,560,48,0,47,22,1237,550
东城,3室1厅1厨1卫,中楼层(共5层),57.06,1982,简装,无,580,204,1,51,140,5492,555
东城,1室1厅1厨1卫,低楼层(共19层),54.48,2006,精装,有,488,34,1,28,36,1281,470
东城,2室1厅1厨1卫,中楼层(共16层),59.5,1979,精装,有,528,70,1,24,93,2089,510
东城,1室1厅1厨1卫,底层(共7层),47.87,2003,精装,无,590,128,1,10,49,1519,590
东城,2室1厅1厨1卫,高楼层(共29层),61.14,2009,精装,有,538,16,0,18,21,590,525
东城,2室1厅1厨1卫,中楼层(共6层),58,1989,简装,无,670,17,0,9,11,390,653
东城,1室1厅1厨1卫,高楼层(共6层),91.63,2005,精装,有,730,367,1,42,112,7443,706
东城,2室1厅1厨1卫,地下室(共6层),57.64,1980,简装,无,350,44,1,7,23,1009,330
东城,3室1厅1厨1卫,中楼层(共5层),67.99,1992,简装,无,650,8,0,18,38,569,639
东城,2室1厅1厨1卫,低楼层(共16层),67.96,2006,简装,有,600,195,1,22,114,5039,600
